date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:23	112729/112729	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:15%20GMT	http://web.derayah.com/ar/platforms/derayah-platform/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/platforms/derayah-platform/index.html	(from http://web.derayah.com/ar/)
14:47:24	93499/93499	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:15%20GMT	http://web.derayah.com/ar/compare-derayah-others/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/compare-derayah-others/index.html	(from http://web.derayah.com/ar/)
14:47:24	688/688	---M--	200	added ('OK')	image/png	etag:%225af83f17-2b0%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/om.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/om.png	(from http://web.derayah.com/ar/)
14:47:24	173539/173539	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:15%20GMT	http://web.derayah.com/ar/prices-fees/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/prices-fees/index.html	(from http://web.derayah.com/ar/)
14:47:24	317/317	---M--	200	added ('OK')	image/png	etag:%225af83f17-13d%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/kw.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/kw.png	(from http://web.derayah.com/ar/)
14:47:25	1058/1058	---M--	200	added ('OK')	image/png	etag:%225af83f17-422%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/us.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/us.png	(from http://web.derayah.com/ar/)
14:47:25	1209/1209	---M--	200	added ('OK')	image/png	etag:%225af83f16-4b9%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/au.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/au.png	(from http://web.derayah.com/ar/)
14:47:25	150/150	---M--	200	added ('OK')	image/png	etag:%225af83f16-96%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/at.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/at.png	(from http://web.derayah.com/ar/)
14:47:25	174/174	---M--	200	added ('OK')	image/png	etag:%225af83f16-ae%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/be.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/be.png	(from http://web.derayah.com/ar/)
14:47:26	819/819	---M--	200	added ('OK')	image/png	etag:%225af83f16-333%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/ca.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/ca.png	(from http://web.derayah.com/ar/)
14:47:26	171/171	---M--	200	added ('OK')	image/png	etag:%225af83f16-ab%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/fr.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/fr.png	(from http://web.derayah.com/ar/)
14:47:26	107/107	---M--	200	added ('OK')	image/png	etag:%225af83f16-6b%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/de.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/de.png	(from http://web.derayah.com/ar/)
14:47:26	1461/1461	---M--	200	added ('OK')	image/png	etag:%225af83f17-5b5%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/hk.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/hk.png	(from http://web.derayah.com/ar/)
14:47:27	195/195	---M--	200	added ('OK')	image/png	etag:%225af83f17-c3%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/it.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/it.png	(from http://web.derayah.com/ar/)
